iter	Passed	Remaining
0	224	224416
1	227	113360
2	229	76362
3	232	57920
4	235	46811
5	237	39363
6	240	34070
7	242	30081
8	245	26987
9	247	24502
10	249	22465
11	252	20767
12	254	19336
13	257	18107
14	259	17044
15	262	16113
16	264	15290
17	266	14563
18	269	13903
19	271	13305
20	273	12761
21	276	12274
22	278	11829
23	280	11418
24	283	11040
25	285	10693
26	287	10370
27	290	10069
28	292	9802
29	295	9538
30	297	9300
31	299	9070
32	302	8856
33	304	8655
34	306	8459
35	309	8283
36	311	8112
37	314	7952
38	316	7798
39	318	7653
40	321	7516
41	323	7382
42	325	7255
43	328	7136
44	330	7019
45	333	6907
46	335	6801
47	337	6702
48	340	6607
49	343	6517
50	345	6428
51	347	6341
52	350	6261
53	352	6180
54	355	6103
55	357	6026
56	359	5952
57	362	5881
58	364	5815
59	367	5750
60	369	5685
61	371	5627
62	374	5569
63	376	5512
64	379	5454
65	381	5396
66	383	5343
67	386	5294
68	388	5243
69	391	5196
70	393	5148
71	395	5100
72	397	5051
73	400	5007
74	402	4963
75	404	4923
76	407	4882
77	409	4841
78	412	4805
79	414	4770
80	417	4733
81	419	4695
82	421	4659
83	424	4624
84	426	4589
85	428	4557
86	431	4524
87	433	4493
88	436	4465
89	438	4437
90	441	4410
91	443	4381
92	446	4352
93	448	4323
94	451	4298
95	453	4272
96	456	4248
97	458	4223
98	461	4198
99	463	4172
100	465	4147
101	468	4128
102	471	4105
103	473	4082
104	476	4059
105	478	4037
106	481	4016
107	483	3996
108	486	3973
109	488	3955
110	491	3936
111	493	3912
112	495	3890
113	498	3872
114	500	3853
115	503	3833
116	505	3814
117	507	3796
118	510	3779
119	512	3761
120	515	3742
121	517	3724
122	520	3707
123	522	3694
124	525	3680
125	528	3663
126	531	3650
127	534	3638
128	537	3625
129	539	3611
130	542	3596
131	544	3580
132	546	3564
133	549	3550
134	551	3535
135	554	3520
136	556	3505
137	558	3491
138	561	3476
139	563	3462
140	566	3449
141	568	3434
142	570	3419
143	573	3408
144	575	3394
145	578	3381
146	580	3369
147	583	3357
148	585	3346
149	588	3334
150	590	3319
151	592	3305
152	594	3293
153	597	3280
154	599	3268
155	602	3257
156	604	3246
157	607	3235
158	609	3224
159	612	3214
160	614	3204
161	617	3192
162	619	3181
163	622	3171
164	624	3160
165	626	3149
166	629	3139
167	631	3128
168	634	3118
169	636	3108
170	639	3099
171	642	3092
172	645	3083
173	647	3072
174	649	3062
175	652	3053
176	654	3043
177	657	3034
178	659	3026
179	662	3018
180	664	3008
181	667	3000
182	670	2992
183	672	2983
184	675	2975
185	677	2966
186	680	2957
